folio,tag,meta_left,scribal,line_text,word_index,original_word,cleaned_word,unified_word,has_markup,ambiguity_notes
f85r2,f85r2.P.6;H,f85r2.P.6,H,sain.or.or.aiin.opchdy,1,sain.or.or.aiin.opchdy,sain.or.or.aiin.opchdy,sain.or.or.aiin.opchdy,False,many_dots
f85r2,f85r2.P.7;H,f85r2.P.7,H,qotor.sheedy.shodaiin.olfar.ary,1,qotor.sheedy.shodaiin.olfar.ary,qotor.sheedy.shodaiin.olfar.ary,qotor.sheedy.shodaiin.olfar.ary,False,many_dots
f85r2,f85r2.P.8;H,f85r2.P.8,H,dair.sheo.oraiin.chol.daiin,1,dair.sheo.oraiin.chol.daiin,dair.sheo.oraiin.chol.daiin,dair.sheo.oraiin.chol.daiin,False,many_dots
f85r2,f85r2.P.9;H,f85r2.P.9,H,ockhdor.olkor.shoral,1,ockhdor.olkor.shoral,ockhdor.olkor.shoral,ockhdor.olkor.shoral,False,
f85r2,f85r2.P.10;H,f85r2.P.10,H,sosees,1,sosees,sosees,sosees,False,
f85r2,f85r2.P.11;H,f85r2.P.11,H,pchedeey.olkey.qokedy.sheos.fcheey,1,pchedeey.olkey.qokedy.sheos.fcheey,pchedeey.olkey.qokedy.sheos.fcheey,pchedeey.olkey.qokedy.sheos.fcheey,False,many_dots
f85r2,f85r2.P.12;H,f85r2.P.12,H,otchedy.chotey.qocthey.oteey.ol.oloeorain,1,otchedy.chotey.qocthey.oteey.ol.oloeorain,otchedy.chotey.qocthey.oteey.ol.oloeorain,otchedy.chotey.qocthey.oteey.ol.oloeorain,False,many_dots
f85r2,f85r2.P.13;H,f85r2.P.13,H,daiin.qotaiin.tchedy.otedy.qotchdy.chckhey,1,daiin.qotaiin.tchedy.otedy.qotchdy.chckhey,daiin.qotaiin.tchedy.otedy.qotchdy.chckhey,daiin.qotaiin.tchedy.otedy.qotchdy.chckhey,False,many_dots
f85r2,f85r2.P.14;H,f85r2.P.14,H,qtchedy.qodar.qotedar.qokar.qotchd.qotom,1,qtchedy.qodar.qotedar.qokar.qotchd.qotom,qtchedy.qodar.qotedar.qokar.qotchd.qotom,qtchedy.qodar.qotedar.qokar.qotchd.qotom,False,many_dots
f85r2,f85r2.P.15;H,f85r2.P.15,H,soiis.aiin.shedaiin.chokcod,1,soiis.aiin.shedaiin.chokcod,soiis.aiin.shedaiin.chokcod,soiis.aiin.shedaiin.chokcod,False,
f85r2,f85r2.P.16;H,f85r2.P.16,H,otchs.shedor.chey.sorain,1,otchs.shedor.chey.sorain,otchs.shedor.chey.sorain,otchs.shedor.chey.sorain,False,
f85r2,f85r2.P.17;H,f85r2.P.17,H,or.shedy.tedy.sodaiiin.chy,1,or.shedy.tedy.sodaiiin.chy,or.shedy.tedy.sodaiiin.chy,or.shedy.tedy.sodaiiin.chy,False,many_dots
f85r2,f85r2.P.18;H,f85r2.P.18,H,ytedar.ch*s.aiin.arody,1,ytedar.ch*s.aiin.arody,ytedar.chs.aiin.arody,ytedar.chs.aiin.arody,True,markup_removed;changed_by_cleaning
